ALFABETA;PRINCIPIO ACTIVO;MARCA COMERCIAL;PRESENTACION;LABORATORIO;PVP PAMI AL 02/12/2025;COBERTURA;IMPORTE AFILIADO;AHORRO TOTAL;RANGO DE COBERTURA
42415;betahistina;BETASERC;16 mg comp.x 30;Abbott EPD;$ 35.195,82;40%;$ 21.117,49;$ 14.078,33;BAJA
42416;betahistina;BETASERC;24 mg comp.x 30;Abbott EPD;$ 48.849,28;40%;$ 29.309,57;$ 19.539,71;BAJA
48040;betahistina;BETASERC;8 mg comp.x 30;Abbott EPD;$ 31.222,28;40%;$ 18.733,37;$ 12.488,91;BAJA
21735;candesart�n cilexetil;TIADYL;16 mg comp.x 30;Abbott EPD;$ 58.156,58;60%;$ 23.262,63;$ 34.893,95;MEDIA
21733;candesart�n cilexetil;TIADYL;8 mg comp.x 30;Abbott EPD;$ 38.776,85;60%;$ 15.510,74;$ 23.266,11;MEDIA
29638;candesart�n+hidroclorotiazida;TIADYL PLUS;16 mg comp.x 30;Abbott EPD;$ 52.340,30;60%;$ 20.936,12;$ 31.404,18;MEDIA
10202;claritromicina;KLARICID;125 mg/5 ml jbe.x 60 ml;Abbott EPD;$ 1.258,68;60%;$ 503,47;$ 755,21;MEDIA
15947;claritromicina;KLARICID;500 mg comp.x 16;Abbott EPD;$ 32.248,82;60%;$ 12.899,53;$ 19.349,29;MEDIA
30818;claritromicina;KLARICID;500 mg comp.x 8;Abbott EPD;$ 19.538,39;60%;$ 7.815,36;$ 11.723,03;MEDIA
12610;claritromicina;KLARICID;IV iny.f.a.x 1;Abbott EPD;$ 1.198,74;60%;$ 479,50;$ 719,24;MEDIA
22622;claritromicina;KLARICID UD;comp.x 5;Abbott EPD;$ 11.784,83;60%;$ 4.713,93;$ 7.070,90;MEDIA
18811;claritromicina;KLARICID UD;comp.x 8;Abbott EPD;$ 18.854,40;60%;$ 7.541,76;$ 11.312,64;MEDIA
18812;claritromicina;KLARICID FORTE;jbe.x 60 ml;Abbott EPD;$ 5.734,16;60%;$ 2.293,66;$ 3.440,50;MEDIA
50821;clofedianol+bromhexina;COFRON;Ad.jbe.x 180 ml;Abbott EPD;$ 575,14;50%;$ 287,57;$ 287,57;MEDIA
50823;clofedianol+bromhexina;COFRON;Ped.jbe.x 180 ml;Abbott EPD;$ 882,93;50%;$ 441,47;$ 441,46;MEDIA
50820;clofedianol+bromhexina;COFRON;ad.jbe.x 100 ml;Abbott EPD;$ 9.210,37;50%;$ 4.605,19;$ 4.605,18;MEDIA
50822;clofedianol+bromhexina;COFRON;ped.jbe.x 100 ml;Abbott EPD;$ 9.210,37;50%;$ 4.605,19;$ 4.605,18;MEDIA
21875;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 15 g;Abbott EPD;$ 16.949,76;60%;$ 6.779,90;$ 10.169,86;MEDIA
4640;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 30 g;Abbott EPD;$ 33.383,72;60%;$ 13.353,49;$ 20.030,23;MEDIA
21877;colagenasa+cloranfenicol+asoc.;IRUXOL;ung.x 50 g;Abbott EPD;$ 54.115,62;60%;$ 21.646,25;$ 32.469,37;MEDIA
37388;enzimas digestivas;CREON 25000;c�ps.x 100;Abbott EPD;$ 172.583,49;50%;$ 86.291,75;$ 86.291,74;MEDIA
24710;enzimas digestivas;CREON 10000;c�ps.x 100;Abbott EPD;$ 104.046,77;50%;$ 52.023,39;$ 52.023,38;MEDIA
24709;enzimas digestivas;CREON 10000;c�ps.x 50;Abbott EPD;$ 57.531,23;50%;$ 28.765,62;$ 28.765,61;MEDIA
37387;enzimas digestivas;CREON 25000;c�ps.x 50;Abbott EPD;$ 95.771,84;50%;$ 47.885,92;$ 47.885,92;MEDIA
45275;fenofibrato;CONTROLIP;160 mg c�ps.x 30;Abbott EPD;$ 39.260,96;60%;$ 15.704,38;$ 23.556,58;MEDIA
49097;fluvoxamina;LUVOX;100 mg comp.ran.x 30;Abbott EPD;$ 40.915,90;50%;$ 20.457,95;$ 20.457,95;MEDIA
49096;fluvoxamina;LUVOX;100 mg comp.rec.x 15;Abbott EPD;$ 489,56;50%;$ 244,78;$ 244,78;MEDIA
19929;pinaverio,bromuro;DICETEL;100 mg comp.x 30;Abbott EPD;$ 28.269,38;50%;$ 14.134,69;$ 14.134,69;MEDIA
19930;pinaverio,bromuro;DICETEL;100 mg comp.x 60;Abbott EPD;$ 54.704,90;50%;$ 27.352,45;$ 27.352,45;MEDIA
4652;propafenona;NORMORYTMIN;150 mg comp.rec.x 20;Abbott EPD;$ 14.726,85;60%;$ 5.890,74;$ 8.836,11;MEDIA
7781;propafenona;NORMORYTMIN;150 mg comp.rec.x 50;Abbott EPD;$ 31.979,66;60%;$ 12.791,86;$ 19.187,80;MEDIA
4653;propafenona;NORMORYTMIN;300 mg comp.rec.x 20;Abbott EPD;$ 27.641,26;60%;$ 11.056,50;$ 16.584,76;MEDIA
7783;propafenona;NORMORYTMIN;300 mg comp.rec.x 50;Abbott EPD;$ 59.740,77;60%;$ 23.896,31;$ 35.844,46;MEDIA
8514;sodio,divalproato;VALCOTE;125 mg comp.x 50;Abbott EPD;$ 20.685,70;80%;$ 4.137,14;$ 16.548,56;ALTA
20089;sodio,divalproato;VALCOTE SPRINKLE;125 mg c�ps.x 100;Abbott EPD;$ 60.029,63;80%;$ 12.005,93;$ 48.023,70;ALTA
20088;sodio,divalproato;VALCOTE SPRINKLE;125 mg c�ps.x 50;Abbott EPD;$ 31.347,31;80%;$ 6.269,46;$ 25.077,85;ALTA
47171;sodio,divalproato;VALCOTE ER;250 mg comp.lib.cont.x50;Abbott EPD;$ 41.890,07;80%;$ 8.378,01;$ 33.512,06;ALTA
8518;sodio,divalproato;VALCOTE;250 mg comp.x 50;Abbott EPD;$ 34.806,62;80%;$ 6.961,32;$ 27.845,30;ALTA
29031;sodio,divalproato;VALCOTE ER;500 mg comp.lib.cont.x50;Abbott EPD;$ 73.880,45;80%;$ 14.776,09;$ 59.104,36;ALTA
8524;sodio,divalproato;VALCOTE;500 mg comp.x 50;Abbott EPD;$ 61.382,23;80%;$ 12.276,45;$ 49.105,78;ALTA
24301;sodio,divalproato;VALCOTE IV;iny.a.x 10 x 5 ml;Abbott EPD;$ 8.485,24;80%;$ 1.697,05;$ 6.788,19;ALTA
19;valproico,�c.;DEPAKENE;c�ps.x 50;Abbott EPD;$ 20.116,11;80%;$ 4.023,22;$ 16.092,89;ALTA
21;valproico,�c.;DEPAKENE;jbe.x 120 ml;Abbott EPD;$ 11.156,19;80%;$ 2.231,24;$ 8.924,95;ALTA
4642;verapamilo;ISOPTINO RETARD;120 mg comp.rec.x 20;Abbott EPD;$ 19.984,38;60%;$ 7.993,75;$ 11.990,63;MEDIA
2141;verapamilo;ISOPTINO MD;240 mg comp. rec.x 30;Abbott EPD;$ 46.118,58;60%;$ 18.447,43;$ 27.671,15;MEDIA
20438;verapamilo;ISOPTINO;80 mg comp.rec.x 30;Abbott EPD;$ 13.521,34;60%;$ 5.408,54;$ 8.112,80;MEDIA
46420;bimatoprost;LUMIGAN RC;0.01% fco.gotero x 3 ml;Abbvie;$ 38.714,71;50%;$ 19.357,36;$ 19.357,35;MEDIA
28696;bimatoprost;LUMIGAN;0.03% sol.oft.x 3 ml;Abbvie;$ 34.276,32;50%;$ 17.138,16;$ 17.138,16;MEDIA
39970;bimatoprost+timolol;GANFORT;sol.oft.x 3 ml;Abbvie;$ 37.912,08;50%;$ 18.956,04;$ 18.956,04;MEDIA
52738;bimatoprost+timolol;GANFORT UD;sol.oft.x 30 ds.x 0.4 ml;Abbvie;$ 39.221,84;50%;$ 19.610,92;$ 19.610,92;MEDIA
31189;brimonidina;ALPHAGAN P;sol.oft.x 5 ml;Abbvie;$ 31.122,84;60%;$ 12.449,14;$ 18.673,70;MEDIA
19898;brimonidina;ALPHAGAN;sol.oft.x 5 ml;Abbvie;$ 26.690,22;60%;$ 10.676,09;$ 16.014,13;MEDIA
37917;brimonidina+timolol;COMBIGAN;0.2%/0.5% gts.oft.x 5 ml;Abbvie;$ 34.130,25;50%;$ 17.065,13;$ 17.065,12;MEDIA
51569;carboximetilcelulosa s�d.+asoc.;OPTIVE ADVANCED;sol.oft.x 10 ml;Abbvie;$ 5.084,83;50%;$ 2.542,42;$ 2.542,41;MEDIA
56822;carboximetilcelulosa s�d.+asoc.;REFRESH FUSION;sol.oft.x 10 ml;Abbvie;$ 23.116,56;50%;$ 11.558,28;$ 11.558,28;MEDIA
51599;carboximetilcelulosa s�d.+asoc.;OPTIVE ADVANCED;sol.oft.x 15 ml;Abbvie;$ 5.223,66;50%;$ 2.611,83;$ 2.611,83;MEDIA
37918;carboximetilcelulosa s�dica;REFRESH TEARS;0.5% gts.x 10 ml;Abbvie;$ 15.750,89;50%;$ 7.875,45;$ 7.875,44;MEDIA
23975;carboximetilcelulosa s�dica;REFRESH TEARS;0.5% gts.x 15 ml;Abbvie;$ 22.503,72;50%;$ 11.251,86;$ 11.251,86;MEDIA
32902;carboximetilcelulosa s�dica;REFRESH LIQUIGEL;1% fco.gotero x 15 ml;Abbvie;$ 21.479,55;50%;$ 10.739,78;$ 10.739,77;MEDIA
42509;ciclosporina;RESTASIS;viales x 30 unid.x 0.4ml;Abbvie;$ 46.616,47;60%;$ 18.646,59;$ 27.969,88;MEDIA
41748;epinastina;RELESTAT;sol.oft.x 5 ml;Abbvie;$ 20.534,19;50%;$ 10.267,10;$ 10.267,09;MEDIA
241;fluorometolona;F M L LIQUIFILM;susp.oft.x 10 ml;Abbvie;$ 13.642,70;50%;$ 6.821,35;$ 6.821,35;MEDIA
242;fluorometolona+asoc.;F M L NEO LIQUIFILM;susp.oft.x 5 ml;Abbvie;$ 2.199,19;50%;$ 1.099,60;$ 1.099,59;MEDIA
34168;gatifloxacina;ZYMARAN;0.3% sol.oft.x 5 ml;Abbvie;$ 29.692,30;80%;$ 5.938,46;$ 23.753,84;ALTA
47867;gatifloxacina;ZYMAXID;fco.gotero x 5 ml;Abbvie;$ 36.446,98;80%;$ 7.289,40;$ 29.157,58;ALTA
48712;gatifloxacina+prednisolona,acet.;ZYPRED;susp.oft.x 6 ml;Abbvie;$ 45.463,38;50%;$ 22.731,69;$ 22.731,69;MEDIA
43004;glicerina+asoc.;OPTIVE;sol.oft.x 10 ml;Abbvie;$ 18.270,35;50%;$ 9.135,18;$ 9.135,17;MEDIA
40574;glicerina+asoc.;OPTIVE;sol.oft.x 15 ml;Abbvie;$ 24.007,72;50%;$ 12.003,86;$ 12.003,86;MEDIA
15467;ketorolac;ACULAR;sol.oft.x 5 ml;Abbvie;$ 15.581,30;50%;$ 7.790,65;$ 7.790,65;MEDIA
38945;ketorolac;ACULAR LS;sol.oft.x 5 ml;Abbvie;$ 18.694,58;50%;$ 9.347,29;$ 9.347,29;MEDIA
48009;ketorolac;ACUVAIL;viales unids.x 30 x0.4ml;Abbvie;$ 1.118,20;50%;$ 559,10;$ 559,10;MEDIA
19724;levobunolol;BETAGAN LIQUIFILM;0.50% sol.x 5 ml;Abbvie;$ 537,19;60%;$ 214,88;$ 322,31;MEDIA
13697;ofloxacina;OFLOX;sol.oft.x 5 ml;Abbvie;$ 1.674,46;60%;$ 669,78;$ 1.004,68;MEDIA
246;prednisolona+fenilefrina;PREDNEFRIN 0.12%;susp.oft.x 10 ml;Abbvie;$ 2.359,35;80%;$ 471,87;$ 1.887,48;ALTA
245;prednisolona+fenilefrina;PREDNEFRIN FORTE;susp.oft.x 10 ml;Abbvie;$ 31.230,53;80%;$ 6.246,11;$ 24.984,42;ALTA
26301;tobramicina;TOBRAGAN;0.3% gts.oft.x 5 ml;Abbvie;$ 468,44;60%;$ 187,38;$ 281,06;MEDIA
11964;aceite de salm�n;REGULIP;1 g c�ps.x 60;Adium;$ 59.180,58;40%;$ 35.508,35;$ 23.672,23;BAJA
34244;aceite de salm�n;REGULIP;1 g c�ps.x 90;Adium;$ 86.160,76;40%;$ 51.696,46;$ 34.464,30;BAJA
58150;aripiprazol;ARIZIC;10 mg comp.rec.x 30;Adium;$ 26.523,95;50%;$ 13.261,98;$ 13.261,97;MEDIA
58148;aripiprazol;ARIZIC;15 mg comp.rec.x 30;Adium;$ 38.908,13;50%;$ 19.454,07;$ 19.454,06;MEDIA
58151;aripiprazol;ARIZIC;20 mg comp.rec.x 30;Adium;$ 47.397,02;50%;$ 23.698,51;$ 23.698,51;MEDIA
58149;aripiprazol;ARIZIC;5 mg comp.rec.x 30;Adium;$ 24.040,62;50%;$ 12.020,31;$ 12.020,31;MEDIA
22369;atorvastat�n;LIPIFEN;10 mg comp.x 30;Adium;$ 34.329,94;80%;$ 6.865,99;$ 27.463,95;ALTA
22370;atorvastat�n;LIPIFEN;20 mg comp.x 30;Adium;$ 56.895,16;80%;$ 11.379,03;$ 45.516,13;ALTA
50267;atorvastat�n;LIPIFEN;40 mg comp.x 30;Adium;$ 66.493,58;80%;$ 13.298,72;$ 53.194,86;ALTA
40014;atorvastat�n+ezetimibe;COLMIBE;10/10 mg comp.x 30;Adium;$ 38.132,24;50%;$ 19.066,12;$ 19.066,12;MEDIA
40015;atorvastat�n+ezetimibe;COLMIBE;20/10 mg comp.x 30;Adium;$ 53.523,34;50%;$ 26.761,67;$ 26.761,67;MEDIA
